book,word,translation,image,sound1,sound2,sound3,unit,mean,example,type,mean_tr,example_tr
0,1,afraid,qoʻrqqan choʻchigan,afraid.jpg,afraid_1392933884419.mp3,afraid_meaning.mp3,afraid_example.mp3,1,"When someone is afraid, they feel fear.",The woman was afraid of what she saw.,adj/v/n,"Biror kishi qo'rqqanida, u qo'rquvni his qiladi.",Ayol ko'rgan narsasidan qo'rqib ketdi.
1,1,agree,rozi boʻlmoq,agree.jpg,agree_1392933884419.mp3,agree_meaning.mp3,agree_example.mp3,1,To agree is to say “yes” or to think the same way.,A: The food is very good in that restaurant. B: I agree with you.,v,"Rozi bo'lish - ""ha"" deb aytish yoki xuddi shunday o'ylash.",Javob: Bu restoranda taomlar juda yaxshi. B: Men siz bilan roziman.
2,1,angry,badjahl,angry.jpg,angry_1392933884419.mp3,angry_meaning.mp3,angry_example.mp3,1,"When someone is angry, they may want to speak loudly or fight.","She didn’t do her homework, so her father is angry.",adj,"Biror kishi g'azablansa, u baland ovozda gapirishni yoki urishishni xohlaydi.","U uy vazifasini bajarmadi, shuning uchun otasi g'azablangan."
3,1,arrive,"yetib kelmoq, kelmoq",arrive.jpg,arrive_1392933884419.mp3,arrive_meaning.mp3,arrive_example.mp3,1,To arrive is to get to or reach some place.,The bus always arrives at the corner of my street at 4:00.,v,Yetib kelish - biror joyga borish yoki yetib borish.,Avtobus har doim mening ko'chamning burchagiga soat 4:00 da keladi.
4,1,attack,hujum qilmoq,attack.jpg,attack_1392933884419.mp3,attack_meaning.mp3,attack_example.mp3,1,To attack is to try to fight or to hurt.,The man with the sword attacked the other man first.,v,Hujum - jang qilish yoki xafa qilish.,Qilichli odam birinchi bo'lib boshqa odamga hujum qildi.
5,1,bottom,tag pastki qism,bottom.jpg,bottom_1392933884419.mp3,bottom_meaning.mp3,bottom_example.mp3,1,The bottom is the lowest part.,The bottom of my shoe has a hole in it.,n,Pastki qismi eng pastki qismidir.,Oyoq kiyimimning tagida teshik bor.
6,1,clever,aqlli ziyrak,clever.jpg,clever.mp3,clever_meaning.mp3,clever_example.mp3,1,"When someone is clever, they can solve a hard puzzle or problem.",The clever boy thought of a good idea.,adj,"Agar kimdir aqlli bo'lsa, u qiyin jumboq yoki muammoni hal qilishi mumkin.",Aqlli bola yaxshi fikr o‘ylab topdi.
7,1,cruel,berahm,cruel.jpg,cruel_1392933884419.mp3,cruel_meaning.mp3,cruel_example.mp3,1,"When someone is cruel, they do bad things to hurt others.",The cruel man yelled at his sister.,adj,"Agar kimdir shafqatsiz bo'lsa, u boshqalarga zarar etkazish uchun yomon ishlarni qiladi.",Zolim odam singlisiga baqirdi.
8,1,finally,va nihoyat,finally.jpg,finally_1392933884419.mp3,finally_meaning.mp3,finally_example.mp3,1,"If something happens finally, it happens after a long time or at the end.",He finally crossed the finish line after five hours of running.,adv,"Agar biror narsa nihoyat sodir bo'lsa, u uzoq vaqtdan keyin yoki oxirida sodir bo'ladi.",Nihoyat u besh soatlik yugurishdan so‘ng marraga yetib keldi.
9,1,hide,yashirinmoq,hide.jpg,hide_1392933884419.mp3,hide_meaning.mp3,hide_example.mp3,1,To hide is to try not to let others see you.,The other children will hide while you count to 200.,v,Yashirish - boshqalar sizni ko'rmaslikka harakat qilishdir.,"200 ga qadar hisoblaganingizda, qolgan bolalar yashirinadi."
10,1,hunt,ov qilmoq,hunt.jpg,hunt_1392933884419.mp3,hunt_meaning.mp3,hunt_example.mp3,1,To hunt is to look for or search for an animal to kill.,"Long ago, people hunted with bows and arrows.",v,Ov - o'ldirish uchun hayvonni qidirish yoki qidirish.,Qadim zamonlarda odamlar o'q va kamon bilan ov qilishgan.
11,1,lot,juda koʻp,lot.jpg,lot_1392933884419.mp3,lot_meaning.mp3,lot_example.mp3,1,"A lot means a large number or amount of people, animals, things, etc.",There are a lot of apples in the basket.,n,"Ko'p odamlar, hayvonlar, narsalar va boshqalarning ko'p yoki miqdorini anglatadi.",Savatda juda ko'p olma bor.
12,1,middle,oʻrta,middle.jpg,middle_1392933884419.mp3,middle_meaning.mp3,middle_example.mp3,1,The middle of something is the center or halfway point.,The Canadian flag has a maple leaf in the middle of it.,n,Biror narsaning o'rtasi - markaz yoki yarim nuqta.,Kanada bayrog‘ining o‘rtasida chinor bargi bor.
13,1,moment,sekund on zum,moment.jpg,moment_1392933884419.mp3,moment_meaning.mp3,moment_example.mp3,1,A moment is a second or a very short time.,I was only a few moments late for the meeting.,n,Bir lahza - bu soniya yoki juda qisqa vaqt.,Uchrashuvga bir necha daqiqa kechikdim.
14,1,pleased,xursand mamnun,pleased.jpg,pleased_1392933884419.mp3,pleased_meaning.mp3,pleased_example.mp3,1,"When someone is pleased, they are happy.",She was pleased with the phone call she received.,adj,"Biror kishi xursand bo'lsa, u xursand bo'ladi.",Qabul qilingan telefon qo'ng'irog'idan mamnun edi.
15,1,promise,vada bermoq,promise.jpg,promise_1392933884419.mp3,promise_meaning.mp3,promise_example.mp3,1,To promise is to say you will do something for sure.,He promised to return my key by tomorrow.,v,"Va'da berish, albatta, biror narsa qilishingni aytishdir.",U ertaga kalitimni qaytarib berishga va'da berdi.
16,1,reply,javob bermoq,reply.jpg,reply_1392933884419.mp3,reply_meaning.mp3,reply_example.mp3,1,To reply is to give an answer or say back to someone.,"She asked him what time his meeting was. He replied, “at three.”",v,Javob berish - kimgadir javob berish yoki javob berish.,"U undan uchrashuv vaqti nechada bo'lganini so'radi. U ""uchda"" deb javob berdi."
17,1,safe,xavfsiz,safe.jpg,safe_1392933884419.mp3,safe_meaning.mp3,safe_example.mp3,1,"When a person is safe, they are not in danger.",Put on your seat belt in the car to be safe.,adj,"Biror kishi xavfsiz bo'lsa, u xavf ostida emas.",Xavfsiz bo'lish uchun mashinada xavfsizlik kamarini taqing.
18,1,trick,xiyla fokus,trick.jpg,trick_1392933884419.mp3,trick_meaning.mp3,trick_example.mp3,1,A trick is something you do to fool another person.,His card trick really surprised us.,n,Hiyla - bu boshqa odamni aldash uchun qiladigan narsa.,Uning karta hiylasi bizni chindan ham hayratda qoldirdi.
19,1,well,yaxshi,well.jpg,well_1392933884419.mp3,well_meaning.mp3,well_example.mp3,1,You use well to say that something was done in a good way.,The couple can dance quite well.,adv,Biror narsa yaxshi yo'l bilan amalga oshirildi deb aytish uchun yaxshi foydalanasiz.,Er-xotin juda yaxshi raqsga tushishi mumkin.
20,1,adventure,sarguzasht,adventure.jpg,adventure_1392933884419.mp3,adventure_meaning.mp3,adventure_example.mp3,2,An adventure is a fun or exciting thing that you do.,Riding in the rough water was an adventure.,n,Sarguzasht - bu siz qiladigan qiziqarli yoki hayajonli narsa.,Qattiq suvda sayr qilish sarguzasht edi.
21,1,approach,yaqinlashmoq yaqin kelmoq,approach.jpg,approach_1392933884419.mp3,approach_meaning.mp3,approach_example.mp3,2,To approach something means to move close to it.,The boy approached his school.,v,"Biror narsaga yaqinlashish, unga yaqinlashishni anglatadi.",Bola maktabiga yaqinlashdi.
22,1,carefully,etibor bilan ehtiyotlik bilan ,carefully.jpg,carefully_1392933884419.mp3,carefully_meaning.mp3,carefully_example.mp3,2,"Carefully means with great attention, especially to detail or safety.",The baby carefully climbed down the Stairs.,adv,"Ehtiyotkorlik, ayniqsa, tafsilotlarga yoki xavfsizlikka katta e'tibor berishni anglatadi.",Chaqaloq ehtiyotkorlik bilan zinapoyadan pastga tushdi.
23,1,chemical,kimyoviy modda,chemical.jpg,chemical_1392933884419.mp3,chemical_meaning.mp3,chemical_example.mp3,2,A chemical is something that scientists use in chemistry.,The scientist mixed the chemicals.,n,Kimyoviy olimlar kimyoda foydalanadigan narsadir.,Olim kimyoviy moddalarni aralashtirib yubordi.
24,1,create,yaratmoq yasamoq,create.jpg,create_1392933884419.mp3,create_meaning.mp3,create_example.mp3,2,To create means to make something new.,She created an igloo from blocks of snow.,v,Yaratmoq yangi narsa yasamoq demakdir.,U qor bloklaridan iglo yaratdi.
25,1,evil,yomon yovuz,evil.jpg,evil_1392933884419.mp3,evil_meaning.mp3,evil_example.mp3,2,"Evil describes something or someone bad or cruel, not good.",The evil figure scared us all.,adj,"Yovuzlik yaxshi emas, biror narsani yoki kimnidir yomon yoki shafqatsiz tasvirlaydi.",Yovuz figura barchamizni qo'rqitdi.
26,1,experiment,tajriba sinov,experiment.jpg,experiment_1392933884419.mp3,experiment_meaning.mp3,experiment_example.mp3,2,An experiment is a test that you do to see what will happen.,The student did an experiment in science class.,n,Tajriba - bu nima bo'lishini ko'rish uchun qiladigan sinov.,Talaba fan darsida tajriba o'tkazdi.
27,1,kill,oʻldirmoq,kill.jpg,kill_1392933884419.mp3,kill_meaning.mp3,kill_example.mp3,2,To kill someone or something is to make them die.,I killed the fly with a fly swatter.,v,"Biror kishini yoki biror narsani o'ldirish, uni o'ldirishdir.",Men chivinni chivin bilan o'ldirdim.
28,1,laboratory,laboratoriya,laboratory.jpg,laboratory_1392933884419.mp3,laboratory_meaning.mp3,laboratory_example.mp3,2,A laboratory is a room where a scientist works.,My mother works in a laboratory.,n,Laboratoriya - bu olim ishlaydigan xona.,Onam laboratoriyada ishlaydi.
29,1,laugh,kulgi,laugh.jpg,laugh_1392933884419.mp3,laugh_meaning.mp3,laugh_example.mp3,2,Laugh is the sound made when someone is happy or a funny thing occurs.,The sound of their laugh filled the room.,n,Kulgi - bu kimdir xursand bo'lganida yoki kulgili voqea sodir bo'lganda chiqarilgan ovoz.,Ularning kulgi ovozi xonani to‘ldirdi.
