book,word,translation,image,sound1,sound2,sound3,image_text,unit
0,1,afraid,qoʻrqqan choʻchigan,afraid.jpg,afraid_1392933884419.mp3,afraid_meaning.mp3,afraid_example.mp3,"© afraid lefreidl aaj.
When someone is afraid, they feel fear.
~ The woman was afraid of what she saw.

 
",1
1,1,agree,rozi boʻlmoq,agree.jpg,agree_1392933884419.mp3,agree_meaning.mp3,agree_example.mp3,"© agree lagri:] v.
To agree is to say “yes” or to think the same way.
— A: The food is very good in that restaurant. B:1 agree with you.

 
",1
2,1,angry,badjahl,angry.jpg,angry_1392933884419.mp3,angry_meaning.mp3,angry_example.mp3,"@ angry lengril adj.
ED) When someone is angry, they may want to speak loudly or fight.
— She didn’t do her homework, so her father is angry.
",1
3,1,arrive,"yetib kelmoq, kelmoq",arrive.jpg,arrive_1392933884419.mp3,arrive_meaning.mp3,arrive_example.mp3,"a
~ © arrive foraiv v.

si To arrive is to get to or reach some place.
7

— The bus always arrives at the corner of my street at 4:00.
",1
4,1,attack,hujum qilmoq,attack.jpg,attack_1392933884419.mp3,attack_meaning.mp3,attack_example.mp3,"© attack [er

To attack is to try to fight or to hurt.
— The man with the sword attacked the other man first.

 
",1
5,1,bottom,tag pastki qism,bottom.jpg,bottom_1392933884419.mp3,bottom_meaning.mp3,bottom_example.mp3,"© bottom [batem! ».
The bottom is the lowest part.
— The bottom of my shoe has a hole in it.

 
",1
6,1,clever,aqlli ziyrak,clever.jpg,clever.mp3,clever_meaning.mp3,clever_example.mp3,"e clever kieverl ;
When someone is clever, they can solve a hard puzzle or problem.
g — The clever boy thought of a good idea.
",1
7,1,cruel,berahm,cruel.jpg,cruel_1392933884419.mp3,cruel_meaning.mp3,cruel_example.mp3,"© cruel [kri:oll ag.
/ When someone is cruel, they do bad things to hurt others.
aS — The cruel man yelled at his sister.
ty
",1
8,1,finally,va nihoyat,finally.jpg,finally_1392933884419.mp3,finally_meaning.mp3,finally_example.mp3,"© finally trainoi) aay. ¢
If something happens finally, it happens after a long time or at the nd.
— He finally crossed the finish line after five hours of running.”
",1
9,1,hide,yashirinmoq,hide.jpg,hide_1392933884419.mp3,hide_meaning.mp3,hide_example.mp3,"; 7
© hide [haic v. oS
To hide is to try not to let others see you. ~
— The other children will hide while you count to 200.
xe

 
",1
10,1,hunt,ov qilmoq,hunt.jpg,hunt_1392933884419.mp3,hunt_meaning.mp3,hunt_example.mp3,"’ e hunt lngr v.
SF m To hunt is to look for or search for an animal to kill.

~ Long ago, people hunted with bows and arrows.
. 7
",1
11,1,lot,juda koʻp,lot.jpg,lot_1392933884419.mp3,lot_meaning.mp3,lot_example.mp3,"© lot lictl x.
A lot means a large number or amount of people, animals, things, etc.

~ There are a lot of apples in the basket.

 
",1
12,1,middle,oʻrta,middle.jpg,middle_1392933884419.mp3,middle_meaning.mp3,middle_example.mp3,"@ middle tmiai ».
The middle of something is the center or halfway point.

— The Canadian flag has a maple leaf in the middle of it.

 
",1
13,1,moment,sekund on zum,moment.jpg,moment_1392933884419.mp3,moment_meaning.mp3,moment_example.mp3,"© moment [moumont] n.
A moment is a second or a very short time.
— | was only a few moments late for the meeting.
",1
14,1,pleased,xursand mamnun,pleased.jpg,pleased_1392933884419.mp3,pleased_meaning.mp3,pleased_example.mp3,"¢ pleased [pli:zzd] adj.
When someone is pleased, they are happy.
— She was pleased with the phone call she received.

 
",1
15,1,promise,vada bermoq,promise.jpg,promise_1392933884419.mp3,promise_meaning.mp3,promise_example.mp3,"© promise [pramis! v.
To promise is to say you will do something for sure.
— He promised to return my key by tomorrow.

 
",1
16,1,reply,javob bermoq,reply.jpg,reply_1392933884419.mp3,reply_meaning.mp3,reply_example.mp3,"@ reply fripial v.
To reply is to give an answer or say back to someone.
~ She asked him what time his meeting was. He replied, “at three.”

 
",1
17,1,safe,xavfsiz,safe.jpg,safe_1392933884419.mp3,safe_meaning.mp3,safe_example.mp3," 

© Safe [ceil ag
vrei) ie When a person is safe, they are not in danger.
— Put on your seat belt in the car to be safe.
",1
18,1,trick,xiyla fokus,trick.jpg,trick_1392933884419.mp3,trick_meaning.mp3,trick_example.mp3,"© trick ttrik) n
A trick is something you do to fool another person.
— His card trick really surprised us.

 
",1
19,1,well,yaxshi,well.jpg,well_1392933884419.mp3,well_meaning.mp3,well_example.mp3,"= ce
= © well (well aav. . Ss?
) You use well to say that something was done in a good wen

— The couple can dance quite well. “

&
",1
20,1,adventure,sarguzasht,adventure.jpg,adventure_1392933884419.mp3,adventure_meaning.mp3,adventure_example.mp3,"© adventure [edvenyari nr.
An adventure is a fun or exciting thing that you do.
— Riding in the rough water was an adventure.

 
",2
21,1,approach,yaqinlashmoq yaqin kelmoq,approach.jpg,approach_1392933884419.mp3,approach_meaning.mp3,approach_example.mp3,"e © approach [eprout{l v.
Bons To approach something means to move close to it.
o — The boy approached his school.

 
",2
22,1,carefully,etibor bilan ehtiyotlik bilan ,carefully.jpg,carefully_1392933884419.mp3,carefully_meaning.mp3,carefully_example.mp3,"© carefully i

Carefully means with great attention, especially to detail or safety.
— The baby carefully climbed down the Stairs.

 
",2
23,1,chemical,kimyoviy modda,chemical.jpg,chemical_1392933884419.mp3,chemical_meaning.mp3,chemical_example.mp3,"e chemical [kemikall n.
A chemical is something that scientists use in chemistry.
— The scientist mixed the chemicals.

 
",2
24,1,create,yaratmoq yasamoq,create.jpg,create_1392933884419.mp3,create_meaning.mp3,create_example.mp3,"© Create {kricit! v.
To create means to make something new.
~ She created an igloo from blocks of snow.

 
",2
25,1,evil,yomon yovuz,evil.jpg,evil_1392933884419.mp3,evil_meaning.mp3,evil_example.mp3,"© evil |
Evil describes something or someone bad or cruel, not good.
— The evil figure scared us all.

 
",2
26,1,experiment,tajriba sinov,experiment.jpg,experiment_1392933884419.mp3,experiment_meaning.mp3,experiment_example.mp3,"© experiment liksperement! x.
An experiment is a test that you do to see what will happen.
~ The student did an experiment in science class.

 
",2
27,1,kill,oʻldirmoq,kill.jpg,kill_1392933884419.mp3,kill_meaning.mp3,kill_example.mp3,"e kill
To kill someone or something is to make them die.
— | killed the fly with a fly swatter.
",2
28,1,laboratory,laboratoriya,laboratory.jpg,laboratory_1392933884419.mp3,laboratory_meaning.mp3,laboratory_example.mp3,"  

: rs

C laboratory llzebaratd:ri] n.
A laboratory is a room where a scientist works.
— My mother works in a laboratory.
",2
